# English	Chinese	Russian	Japanese	Bavarian
Licenses	许可证	Лицензии	ライセンス	Lizenzen
Health Bar Position	生命条位置	Положение здоровья	体力バーの位置	Lebnsbalkn-Position
Health Bar Width	生命条宽度	Ширина здоровья	体力バーの幅	Lebnsbalkn-Breitn
Armor Display	护甲显示	Отображение брони	防具の表示	Rüstungsanzeige
Hide Health When Full	满血时隐藏生命值	Скрыть полное здоровье	体力満タン時に非表示	Volles Lebn ausblendn
Opacity	不透明度	Непрозрачность	不透明度	Deckkraft
Scale	缩放	Масштаб	拡大率	Größ
Strength	强度	Сила	強さ	Stärkn
Thickness	粗细	Толщина	太さ	Dickn
Horizontal Speed	水平速度	Горизонтальная скорость	水平速度	Waagrechte Gschwindigkeit
Vertical Speed	垂直速度	Вертикальная скорость	垂直速度	Senkrechte Gschwindigkeit
Only Moving	仅移动时	Только в движении	移動中のみ	Bloß beim Gehn
Only While Moving	仅移动时	Только при движении	移動している間のみ	Bloß beim Gehn
Only With Tools	仅使用工具时	Только с инструментом	ツール使用中のみ	Bloß mit Werkzeig
Switch Back	切换回来	Вернуть слот	元のスロットに戻す	Zruckwechsln
Require Sneak	需要潜行	Требовать приседание	スニークが必要	Schleichn braucht
Holding Blocks	手持方块	С блоком в руке	ブロックを持っている時	Blöck in da Hand
Randomize Delays	随机延迟	Случайные задержки	遅延をランダム化	Zufällige Pausn
Delay (ms)	延迟（毫秒）	Задержка (мс)	遅延（ms）	Verzögerung (ms)
Duration	持续时间	Длительность	継続時間	Dauer
Chance	概率	Вероятность	確率	Chance
Gravity	重力	Гравитация	重力	Schwerkraft
Time	时间	Время	時間	Zeit
Time Mode	时间模式	Режим времени	時間モード	Zeitart
Time Speed	时间速度	Скорость времени	時間の速度	Zeitgschwindigkeit
Weather Mode	天气模式	Режим погоды	天候モード	Wetterart
Weather Strength	天气强度	Сила погоды	天候の強さ	Wetterstärkn
Clear	晴朗	Ясно	晴れ	Klar
Rain	雨	Дождь	雨	Regn
Thunder	雷暴	Гроза	雷雨	Gwitter
Day	白天	День	昼	Dog
Night	夜晚	Ночь	夜	Nacht
Sunset	日落	Закат	夕暮れ	Sunnuntergang
HUD Elements	界面元素	Элементы HUD	HUD 要素	Anzeige-Elemente
Blur Elements	模糊元素	Элементы размытия	ぼかす要素	Unschärfe-Elemente
Features	功能	Функции	機能	Funktiona
Selection	选择	Выбор	選択	Auswahl
Types	类型	Типы	種類	Artn
Near Color	近处颜色	Ближний цвет	近距離の色	Nahe Farb
Far Color	远处颜色	Дальний цвет	遠距離の色	Ferne Farb
Color Fade	颜色渐变	Переход цвета	色のグラデーション	Farbübergang
Fade Speed	渐变速度	Скорость перехода	フェード速度	Übergangsgschwindigkeit
Rainbow Speed	彩虹速度	Скорость радуги	虹の速度	Regenbogn-Gschwindigkeit
Normal Chests	普通箱子	Обычные сундуки	通常のチェスト	Normale Truhn
Ender Chests	末影箱	Эндер-сундуки	エンダーチェスト	Endertruhn
Redstone Chests	陷阱箱	Сундуки-ловушки	トラップチェスト	Redstone-Truhn
Center Dot	中心点	Центральная точка	中心点	Mittelpunkt
Dot Size	点大小	Размер точки	点のサイズ	Punktgröß
Gap	间距	Зазор	間隔	Abstand
FOV	视野	Поле зрения	視野角	Sichtfeld
BedESP	床透视	Кровати ESP	ベッド ESP	Bett-ESP
ChestESP	箱子透视	Сундуки ESP	チェスト ESP	Truhn-ESP
BlockOverlay	方块轮廓	Контур блока	ブロック輪郭	Blockrand
AimAssist	辅助瞄准	Помощь прицеливания	エイム補助	Zielhilf
FullBright	全亮	Полная яркость	明るさ最大	Vollhell
AutoTool	自动工具	Автоинструмент	自動ツール	Automatischs Werkzeig
FastBreak	快速挖掘	Быстрая добыча	高速採掘	Schnölla abbaun
CustomCrosshair	自定义准星	Свой прицел	カスタム照準	Eigener Zielpunkt
Sprint	疾跑	Спринт	ダッシュ	Renna
Ambience	环境	Окружение	環境	Umgebung
NameProtect	名称保护	Защита имени	名前を隠す	Namensschutz
TargetESP	目标透视	Цель ESP	ターゲット ESP	Ziel-ESP
No module is available in this category.	此分类没有模块。	В этой категории нет модулей.	このカテゴリにはモジュールがありません。	In dera Kategorie gibts koa Modul.
# Module display names.  The raw names remain the profile identifiers.
Backtrack	回溯	Бэктрек	バックトラック	Ruckspur
BHop	连跳	Бхоп	バニーホップ	Hupf-Sprung
BlockChangeESP	方块变化透视	ESP изменений блоков	ブロック変更 ESP	Blockwechsel-ESP
Blur	模糊	Размытие	ぼかし	Unschärfe
ChestStealer	箱子偷取	Автолут сундуков	チェスト回収	Truhnplünderer
ClickGUI	点击界面	КликGUI	クリックGUI	Klick-GUI
Cute Visuals	可爱视觉	Милые эффекты	かわいい表示	Nette Optik
Debug	调试	Отладка	デバッグ	Fehlersuch
Eagle	鹰眼	Орёл	イーグル	Adler
ESP Editor	透视编辑器	Редактор ESP	ESP エディター	ESP-Editor
FakeLag	假延迟	Фейковая задержка	フェイクラグ	Falscher Lag
FastPlace	快速放置	Быстрая установка	高速設置	Schnölla setzn
Fly	飞行	Полёт	飛行	Fliegn
FOV Changer	视野修改	Изменение обзора	視野角変更	Sichtfeld-Wechsler
Girlfriend	女友	Подруга	ガールフレンド	Freindin
GTA7	GTA7	GTA7	GTA7	GTA7
Hitmarker	命中标记	Маркер попадания	ヒットマーカー	Treffermarker
HUD	界面	HUD	HUD	Anzeige
HUD Editor	界面编辑器	Редактор HUD	HUD エディター	Anzeige-Editor
Inventory Editor	物品栏编辑器	Редактор инвентаря	インベントリエディター	Inventar-Editor
Inventory Manager	物品栏管理	Менеджер инвентаря	インベントリ管理	Inventarverwaltung
ItemESP	物品透视	Предметы ESP	アイテムESP	Item-ESP
Keybind Editor	按键编辑器	Редактор клавиш	キー割り当てエディター	Tastn-Editor
Killaura	杀戮光环	Киллаура	キルオーラ	Kill-Aura
LeftClicker	左键连点	Левый кликер	左クリック補助	Links-Klicker
MoveFix	移动修正	Коррекция движения	移動補正	Geh-Fix
NES Emulator	NES 模拟器	Эмулятор NES	NES エミュレータ	NES-Emulator
NoJumpDelay	无跳跃延迟	Без задержки прыжка	ジャンプ遅延なし	Koa Hüpfpausn
NoSlow	无减速	Без замедления	減速なし	Koa Verlangsama
Particles	粒子	Частицы	パーティクル	Partikel
QOL	便捷功能	Удобство	快適機能	Komfort
Scripts	脚本	Скрипты	スクリプト	Skripts
Skeletal	骨骼	Скелет	スケルトン	Skelett
Test	测试	Тест	テスト	Test
Trajectories	轨迹	Траектории	軌道	Flugbahna
W-Tab	W-连按	W-тап	W タップ	W-Tapp
# Shared setting and option vocabulary.  Full labels above and below take
# precedence; these terms also translate newly composed labels safely.
2D	二维	2D	2D	2D
3D	三维	3D	3D	3D
Absorption	伤害吸收	Поглощение	吸収	Absorption
Accent	强调色	Акцент	アクセント	Akzent
Add	添加	Добавить	追加	Dazua
Adjust	调整	Настроить	調整	Eistelln
Allowed	允许	Разрешённые	許可	Erlaubt
Alpha	透明度	Альфа	アルファ	Alpha
Animation	动画	Анимация	アニメーション	Animation
Animations	动画	Анимации	アニメーション	Animationa
Arm	手臂	Рука	腕	Arm
Array	数组	Массив	配列	Liste
At	在	При	で	bei
Auto	自动	Авто	自動	Auto
Back	返回	Назад	戻る	Zruck
Background	背景	Фон	背景	Hintergrund
Bed	床	Кровать	ベッド	Bett
Block	方块	Блок	ブロック	Block
Blocks	方块	Блоки	ブロック	Blöck
Blocking	格挡	Блокирование	ガード	Blockn
Blacklist	黑名单	Чёрный список	ブラックリスト	Sperrliste
Burst	爆发	Вспышка	バースト	Ausbruch
Centre	中心	Центр	中央	Mitte
Check	检查	Проверять	確認	Prüfn
Circle	圆环	Круг	円	Kreis
Close	关闭	Закрыть	閉じる	Zuamacha
Color	颜色	Цвет	色	Farb
Coordinates	坐标	Координаты	座標	Koordinatn
Correct	修正	Корректировать	補正	Korrigiern
Count	数量	Количество	数	Anzahl
CPS	点击速度	CPS	CPS	Klicks
Cursor	光标	Курсор	カーソル	Cursor
Data	数据	Данные	データ	Daten
Deathmatch	死亡竞赛	Бой насмерть	デスマッチ	Todesspiel
Default	默认	По умолчанию	標準	Standard
Delay	延迟	Задержка	遅延	Verzögerung
Depth	深度	Глубина	深度	Tiefe
Distance	距离	Расстояние	距離	Entfernung
Dot	点	Точка	点	Punkt
Dots	点	Точки	点	Punkt
Down	向下	Вниз	下	Owi
Drag	拖拽	Перетаскивание	ドラッグ	Ziag
Draw	绘制	Рисовать	描画	Zeichna
Drop	丢弃	Выбросить	捨てる	Wegwerfn
Duplicates	重复项	Дубликаты	重複	Dopplte
Dynamic	动态	Динамический	動的	Dynamisch
End	结束	Конец	終了	End
Ender	末影	Эндер	エンダー	Ender
Enemy	敌人	Враг	敵	Feind
Entity	实体	Сущность	エンティティ	Wesen
ESP	透视	ESP	ESP	ESP
Fade	渐变	Переход	フェード	Übergang
Fill	填充	Заливка	塗りつぶし	Füllung
Finish	完成	Завершить	完了	Fertig
First	第一	Первый	最初	Ersta
Food	食物	Еда	食料	Essn
Force	强制	Принудительно	強制	Erzwinga
GodBridge	神桥	Годбридж	ゴッドブリッジ	Godbridge
Ground	地面	Земля	地面	Bodn
Hearts	爱心	Сердца	ハート	Herzn
Hide	隐藏	Скрыть	隠す	Ausblendn
Highlight	高亮	Подсветить	強調	Markiern
Hit	命中	Попадание	ヒット	Treffer
Horizontal	水平	Горизонтальный	水平	Waagrecht
IDs	标识	ID	ID	IDs
Ignore	忽略	Игнорировать	無視	Ignoriern
Invisible	隐形	Невидимый	透明	Unsichtbar
Item	物品	Предмет	アイテム	Sach
Items	物品	Предметы	アイテム	Sachn
Jitter	抖动	Дрожание	揺れ	Zittern
Jump	跳跃	Прыжок	ジャンプ	Hupfa
Landing	落点	Приземление	着地	Landung
Language	语言	Язык	言語	Sproch
Latency	延迟	Задержка	遅延	Latenz
Layout	布局	Макет	レイアウト	Anordnung
Lifetime	持续时间	Время жизни	寿命	Lebensdauer
Limit	限制	Ограничить	制限	Begrenzn
Line	线	Линия	線	Linie
Look	看	Смотреть	見る	Schaua
Mode	模式	Режим	モード	Art
Modes	模式	Режимы	モード	Artn
Mouse	鼠标	Мышь	マウス	Maus
Movement	移动	Движение	移動	Bewegung
Multiplier	倍率	Множитель	倍率	Multiplikator
Normal	普通	Обычный	通常	Normal
Not	不	Не	しない	Ned
On	开启	Вкл	オン	O
Only	仅	Только	のみ	Bloß
Outline	轮廓	Контур	輪郭	Rand
Out	出	Вне	外	Aussa
Pause	暂停	Пауза	一時停止	Pause
Person	人物	Человек	人物	Person
Pitch	俯仰角	Тангаж	ピッチ	Nickwinkel
Place	放置	Установить	設置	Setzn
Player	玩家	Игрок	プレイヤー	Spuila
Position	位置	Позиция	位置	Position
Preset	预设	Пресет	プリセット	Vorlag
Pulse	脉冲	Пульс	パルス	Puls
Rainbow	彩虹	Радуга	虹	Regenbog'n
Random	随机	Случайный	ランダム	Zufällig
Randomization	随机化	Рандомизация	ランダム化	Zufall
Raycast	射线检测	Рейкаст	レイキャスト	Strahltest
Reach	范围	Дальность	到達距離	Reichweitn
Re-press	重新按下	Повторно нажать	再入力	Nochmal druckn
Region	区域	Регион	領域	Bereich
Release	释放	Отпустить	離す	Loslassn
Render	渲染	Рендерить	描画	Rendern
Replace	替换	Заменить	置換	Ersetzn
Rotate	旋转	Повернуть	回転	Drehn
Rotation	旋转	Вращение	回転	Drehung
Safe	安全	Безопасный	安全	Sicher
SafeWalk	安全行走	Безопасная ходьба	安全歩行	Sichergehn
Select	选择	Выбрать	選択	Auswähln
Server	服务器	Сервер	サーバー	Server
Show	显示	Показать	表示	Zoagn
Silent	静默	Тихий	サイレント	Staad
Size	大小	Размер	サイズ	Größ
Slot	槽位	Слот	スロット	Platz
Smart	智能	Умный	スマート	Gscheid
Sort	整理	Сортировать	整理	Sortiern
Sound	声音	Звук	音	Ton
Spawn	生成	Появление	スポーン	Spawna
Speed	速度	Скорость	速度	Gschwindigkeit
Start	开始	Начало	開始	Start
Steal	偷取	Украсть	奪う	Klaua
Strafe	横移	Стрейф	ストレイフ	Seitwärtsgehn
Style	样式	Стиль	スタイル	Stil
Switch	切换	Переключить	切り替え	Wechsln
Text	文本	Текст	テキスト	Text
Through	穿过	Через	通して	Durch
Ticks	游戏刻	Тики	ティック	Ticks
To	到	К	へ	zu
Tool	工具	Инструмент	ツール	Werkzeig
Tracking	追踪	Отслеживание	追跡	Verfolgung
Trigger	触发	Триггер	トリガー	Auslöser
Unsneak	取消潜行	Отменить приседание	スニーク解除	Schleichn loslassn
Velocity	速度	Скорость	速度	Gschwindigkeit
Vertical	垂直	Вертикальный	垂直	Senkrecht
View	视图	Вид	表示	Ansicht
Waifu	二次元角色	Вайфу	ワイフ	Waifu
Walking	行走	Ходьба	歩行	Gehen
Wall	墙	Стена	壁	Wand
When	当	Когда	時	Wann
Whitelist	白名单	Белый список	ホワイトリスト	Erlaubnisliste
Width	宽度	Ширина	幅	Breitn
X	X	X	X	X
Y	Y	Y	Y	Y
Yaw	水平角	Рыскание	ヨー	Gierwinkel
Z	Z	Z	Z	Z
ms	毫秒	мс	ms	ms
# Editor, HUD, and status text not assembled from setting labels.
VIBE HUD LAYOUT	VIBE 界面布局	РАСКЛАДКА HUD VIBE	VIBE HUD レイアウト	VIBE-ANZEIGE LAYOUT
Drag elements • ESC to save and return	拖动元素 • 按 ESC 保存并返回	Перетаскивайте элементы • ESC — сохранить и вернуться	要素をドラッグ • ESC で保存して戻る	Elemente ziang • ESC zum Speichern und Zruckgeh
MOTION GRAPH	移动图表	ГРАФИК ДВИЖЕНИЯ	移動グラフ	BEWEGUNGSGRAPH
CPS GRAPH	点击速度图表	ГРАФИК CPS	CPS グラフ	KLICK-GRAPH
WATERMARK	水印	ВОДЯНОЙ ЗНАК	透かし	WOSSAZEICHN
ARRAYLIST	模块列表	СПИСОК МОДУЛЕЙ	モジュール一覧	MODULLISTN
Module One	模块一	Модуль один	モジュール 1	Modul oans
Module Two	模块二	Модуль два	モジュール 2	Modul zwoa
Session 00:12:34 | Kills 3	会话 00:12:34 | 击杀 3	Сеанс 00:12:34 | Убийства 3	セッション 00:12:34 | キル 3	Sitzung 00:12:34 | 3 Kills
Stalker  Friend / Target	跟踪者  好友 / 目标	Сталкер  Друг / Цель	ストーカー  フレンド / ターゲット	Verfolger  Freind / Ziel
Skin  ♥  Armor  Item  12m	皮肤  ♥  护甲  物品  12米	Скин  ♥  Броня  Предмет  12 м	スキン  ♥  防具  アイテム  12 m	Skin  ♥  Rüstung  Sach  12 m
ARMOR  [ ][ ][ ][ ]	护甲  [ ][ ][ ][ ]	БРОНЯ  [ ][ ][ ][ ]	防具  [ ][ ][ ][ ]	RÜSTUNG  [ ][ ][ ][ ]
INVENTORY	物品栏	ИНВЕНТАРЬ	インベントリ	INVENTAR
SCOREBOARD	记分板	ТАБЛО	スコアボード	PUNKTETAFEL
Player      12	玩家      12	Игрок      12	プレイヤー      12	Spuila      12
%sm	%s米	%s м	%s m	%s m
Skin: %s	皮肤：%s	Скин: %s	スキン: %s	Skin: %s
%s Cosmetica accessory	%s 个 Cosmetica 配饰	%s аксессуар Cosmetica	Cosmetica アクセサリー %s 個	%s Cosmetica-Zubehör
%s Cosmetica accessories	%s 个 Cosmetica 配饰	%s аксессуара Cosmetica	Cosmetica アクセサリー %s 個	%s Cosmetica-Zubehör
CREATE PRESET	创建预设	СОЗДАТЬ ПРЕСЕТ	プリセットを作成	VORLAG ERSTELLN
EDIT	编辑	ИЗМЕНИТЬ	編集	BEARBEITN
EQUIPPED	已装备	НАДЕТО	装備中	OGLENGT
EQUIP	装备	НАДЕТЬ	装備	OLEGN
Preset: %s	预设：%s	Пресет: %s	プリセット: %s	Vorlag: %s
Release a component on a side of the box to reposition it	在框体一侧松开组件以重新定位	Отпустите компонент у стороны рамки, чтобы изменить его положение	枠の側面でコンポーネントを離すと位置を変更できます	Lass a Teil an da Kastenseitn los zum Verschiebn
Click-drag model to rotate • %s	点击并拖动模型以旋转 • %s	Нажмите и тяните модель для поворота • %s	モデルをクリックしてドラッグすると回転 • %s	Modell zum Drehn ziang • %s
Drag labels on the preview to change their side.	拖动预览中的标签以改变其侧边。	Перетаскивайте метки на превью, чтобы сменить сторону.	プレビューのラベルをドラッグして表示側を変更します。	Zieh d Beschriftunga in da Vorschau auf d andere Seitn.
Click a swatch to open the color picker.	点击色块以打开颜色选择器。	Нажмите образец, чтобы открыть выбор цвета.	色見本をクリックしてカラーピッカーを開きます。	Klick auf a Farbprob zum Farbwahln.
Active shader: §b%s	当前着色器：§b%s	Активный шейдер: §b%s	有効なシェーダー：§b%s	Aktiver Shader: §b%s
HOTBAR	快捷栏	ХОТБАР	ホットバー	SCHNELLLEISTE
DROP BIN	丢弃区	КОРЗИНА	廃棄欄	WEGWERFBEREICH
Drop-bin items	丢弃区物品	Предметы в корзине	廃棄欄のアイテム	Sachn im Wegwerfbereich
are discarded.	会被丢弃。	будут выброшены.	は捨てられます。	werdn weggeworfn.
Ignore protects its slot.	“忽略”会保护该槽位。	«Игнорировать» защищает этот слот.	「無視」はそのスロットを保護します。	„Ignoriern“ schützt den Platz.
Add .nes files to the ROM folder,	将 .nes 文件放入 ROM 文件夹，	Добавьте файлы .nes в папку ROM,	.nes ファイルを ROM フォルダーへ追加し、	Leg .nes-Datein in den ROM-Ordner,
then click the ROM row to select one.	然后点击 ROM 行选择一个。	затем нажмите строку ROM, чтобы выбрать игру.	ROM の行をクリックして選択します。	dann klick auf d ROM-Zeil zum Auswähln.
CONTROLS	控制	УПРАВЛЕНИЕ	操作	STEUERUNG
SELECT  Shift     START  Enter	选择  Shift     开始  Enter	ВЫБОР  Shift     СТАРТ  Enter	選択  Shift     開始  Enter	AUSWAHL  Shift     START  Enter
D-Pad  Arrow keys	方向键  方向键	Крестовина  Стрелки	十字キー  矢印キー	Steuerkreiz  Pfeiltastn
Enabled — receiving callbacks	已启用 — 正在接收回调	Включено — получает обратные вызовы	有効 — コールバックを受信中	O — empfängt Rückrufe
DISABLE	禁用	ВЫКЛЮЧИТЬ	無効化	AUSSCHALTN
ENABLE	启用	ВКЛЮЧИТЬ	有効化	EINSCHALTN
DELETE	删除	УДАЛИТЬ	削除	LÖSCHN
RENAME	重命名	ПЕРЕИМЕНОВАТЬ	名前を変更	UMBENENNA
CREATE	创建	СОЗДАТЬ	作成	ERSTELLN
RELOAD	重新加载	ПЕРЕЗАГРУЗИТЬ	再読み込み	NEI LADN
OPEN FOLDER	打开文件夹	ОТКРЫТЬ ПАПКУ	フォルダーを開く	ORDNER AUFMACHA
Unknown	未知	Неизвестно	不明	Unbekannt
Tab  %s	Tab  %s	Tab  %s	Tab  %s	Tab  %s
# Mode and multi-select values used throughout Vibe's controls.
2D (Crosshair)	二维（准星）	2D (прицел)	2D（照準）	2D (Zielpunkt)
3D (World)	三维（世界）	3D (мир)	3D（ワールド）	3D (Welt)
Adaptive	自适应	Адаптивный	適応	Anpassbar
Advanced	高级	Расширенный	詳細	Erweitert
AntiInvisibility	反隐身	Антиневидимость	透明対策	Gegen Unsichtbarkeit
Anvil	铁砧	Наковальня	金床	Amboss
Armor	护甲	Броня	防具	Rüstung
Augustus	Augustus	Augustus	Augustus	Augustus
Axes	斧	Топоры	斧	Äxte
Balls	球	Шары	ボール	Kugeln
Basic	基础	Базовый	基本	Grund
Bavaria	巴伐利亚	Бавария	バイエルン	Bayern
Bavarian	巴伐利亚语	Баварский	バイエルン語	Boarisch
Blue	蓝色	Синий	青	Blau
Bow	弓	Лук	弓	Bogn
Bows	弓	Луки	弓	Bögn
Butterfly	蝴蝶	Баттерфляй	バタフライ	Schmetterling
Cards	卡片	Карты	カード	Kartn
Catton Candy	棉花糖	Сладкая вата	わたあめ	Zuckerwattn
Chest	箱子	Сундук	チェスト	Truh
Chestplate	胸甲	Нагрудник	チェストプレート	Brustplattn
China	中国	Китай	中国	China
Chinese	中文	Китайский	中国語	Chinesisch
clock	时钟	Часы	時計	Uhr
Compact	紧凑	Компактный	コンパクト	Kompakt
Consumables	消耗品	Расходники	消耗品	Verbrauchssachn
cpsgraph	点击速度图表	График CPS	CPS グラフ	Klick-Graph
Cross	十字	Крест	十字	Kreiz
Dawn	黎明	Рассвет	夜明け	Morgndämmerung
Direct	直接	Прямой	直接	Direkt
Dissolve	溶解	Растворение	溶解	Auflösn
Dropper	投掷器	Выбрасыватель	ドロッパー	Werfer
Dusk	黄昏	Сумерки	夕暮れ	Abenddämmerung
English	英语	Английский	英語	Englisch
ESC	ESC	ESC	ESC	ESC
Escape	退出	Выход	戻る	Aussteigen
Extra	额外	Дополнительно	追加	Extra
Extra+	额外+	Дополнительно+	追加+	Extra+
Fake	虚假	Фальшивый	フェイク	Falsch
FinishFaster	更快完成	Быстрее закончить	高速完了	Schnölla fertig
FirstHit	首次命中	Первый удар	最初のヒット	Erster Treffer
FPS	帧率	FPS	FPS	FPS
Futuristic	未来	Футуристичный	未来的	Futuristisch
Gray	灰色	Серый	灰	Grau
Green	绿色	Зелёный	緑	Grün
GroundSpoof	地面伪造	Спуф земли	接地偽装	Bodn-Spoof
GroundStrafe	地面横移	Стрейф по земле	地上ストレイフ	Bodn-Strafe
Hoes	锄	Мотыги	クワ	Hackn
Japanese	日语	Японский	日本語	Japanisch
Left	左	Лево	左	Links
Legacy	经典	Устаревший	旧式	Klassisch
Legit	合法	Легит	正規	Legit
LightBlue	浅蓝	Голубой	水色	Hellblau
Love	爱心	Любовь	ラブ	Liebe
Midnight	午夜	Полночь	真夜中	Mitternacht
minecraft:anvil	铁砧	Наковальня	金床	Amboss
minecraft:chest	箱子	Сундук	チェスト	Truh
minecraft:crafting_table	工作台	Верстак	作業台	Werkbank
minecraft:tnt	TNT	TNT	TNT	TNT
Minimal	极简	Минимальный	ミニマル	Minimal
Modern	现代	Современный	モダン	Modern
motiongraph	移动图表	График движения	移動グラフ	Bewegungsgraph
NeverLose	NeverLose	NeverLose	NeverLose	NeverLose
Noon	正午	Полдень	正午	Mittag
NTSC	NTSC	NTSC	NTSC	NTSC
Off	关	Выкл	オフ	Aus
OpenInv	打开物品栏	Открыть инвентарь	インベントリを開く	Inventar aufmacha
Orbit	轨道	Орбита	軌道	Umlauf
Other	其他	Другое	その他	Anders
Other Vanilla GUIs	其他原版界面	Другие обычные GUI	他のバニラ GUI	Andere Vanilla-GUIs
PAL	PAL	PAL	PAL	PAL
Pickaxes	镐	Кирки	ツルハシ	Spitzhackn
Potions	药水	Зелья	ポーション	Tränk
Prevent Backwards Sprinting	阻止向后疾跑	Не спринтовать назад	後方ダッシュを防止	Rückwärtsrenna verhinder
Purple	紫色	Фиолетовый	紫	Lila
Red	红色	Красный	赤	Rot
Repel	击退	Отталкивать	反発	Wegstoßn
Reverse	反向	Обратный	逆	Umkehrn
Reverse Spin	反向旋转	Обратное вращение	逆回転	Rückwärtsdrehung
Right	右	Право	右	Rechts
ROM	ROM	ROM	ROM	ROM
Russian	俄语	Русский	ロシア語	Russisch
sessioninfo	会话信息	Информация о сеансе	セッション情報	Sitzungsinfo
Shovels	铲	Лопаты	シャベル	Schaufeln
Simple	简单	Простой	シンプル	Oafach
Skeet	Skeet	Skeet	Skeet	Skeet
Slide	滑动	Скольжение	スライド	Rutschn
Snowflake	雪花	Снежинка	雪の結晶	Schneeflockn
Spin	旋转	Вращение	回転	Drehn
stalker	跟踪者	Сталкер	ストーカー	Verfolger
Stars	星星	Звёзды	星	Sterna
Static	静态	Статичный	固定	Starr
Stones	石头	Камни	石	Stoana
Sun	太阳	Солнце	太陽	Sunn
Swords	剑	Мечи	剣	Schwerta
Threat	威胁	Угроза	脅威	Bedrohung
Thrower	投掷器	Метатель	スローワー	Werfer
Tools	工具	Инструменты	ツール	Werkzeig
Username	用户名	Имя пользователя	ユーザー名	Benutzername
Vanilla	原版	Обычный	バニラ	Vanilla
Version	版本	Версия	バージョン	Version
Vibe	Vibe	Vibe	Vibe	Vibe
Weapon	武器	Оружие	武器	Waffn
Woods	木材	Древесина	木材	Hoiz
Wtap	W连按	W-тап	W タップ	W-Tapp
Yellow	黄色	Жёлтый	黄	Gelb
# GTA7's first-person HUD, pause screen, progression, notices, and landmarks.
20.0 HP	20.0 生命值	20.0 HP	20.0 HP	20.0 HP
%s SETTINGS	%s 设置	Настройки: %s	%s 設定	%s-Eistellung
%s selected	已选择 %s 项	Выбрано: %s	%s 個を選択	%s ausg'wuids
GTA 7 / RUN COMPLETE	GTA 7 / 本局结束	GTA 7 / ЗАБЕГ ЗАВЕРШЁН	GTA 7 / ラン完了	GTA 7 / RUNDE FERTIG
GTA 7 / CITY ON HOLD	GTA 7 / 城市暂停	GTA 7 / ГОРОД НА ПАУЗЕ	GTA 7 / 都市を一時停止	GTA 7 / STADT PAUSIERT
O P E N   W O R L D	开  放  世  界	О Т К Р Ы Т Ы Й   М И Р	オ ー プ ン   ワ ー ル ド	O F F E N E   W E L T
POLICE SEARCH	警方搜捕	ПОИСК ПОЛИЦИИ	警察の捜索	POLIZEISUCHE
LOW PROFILE	低调行事	НИЗКИЙ ПРОФИЛЬ	目立たない行動	UNAUFFÄLLIG
WANTED	通缉	РОЗЫСК	指名手配	GESUCHT
XP BANK	经验银行	БАНК XP	XP バンク	XP-BANK
eliminations this life	本局击杀	устранений за эту жизнь	このライフのキル数	Kills in dem Lebn
AK47	AK47	AK47	AK47	AK47
MELEE	近战	БЛИЖНИЙ БОЙ	近接	NAHKAMPF
RELOADING	装填中	ПЕРЕЗАРЯДКА	リロード中	NACHLADN
ESC  Pause  /  F1  Controls	ESC  暂停  /  F1  控制	ESC  Пауза  /  F1  Управление	ESC  一時停止  /  F1  操作	ESC  Pause  /  F1  Steuerung
E  Floor up / Shift+E  Down / Ctrl+E  Top	E  上楼 / Shift+E  下楼 / Ctrl+E  顶层	E  Этаж вверх / Shift+E  вниз / Ctrl+E  верх	E  上の階 / Shift+E  下 / Ctrl+E  最上階	E  Stock auffi / Shift+E obi / Ctrl+E ganz auffi
SPACE  Climb / SHIFT  Descend	空格  攀爬 / SHIFT  下行	ПРОБЕЛ  Вверх / SHIFT  Вниз	SPACE  登る / SHIFT  降りる	LEERTASTE aufi / SHIFT obi
CRITICAL HEALTH	生命值危急	КРИТИЧЕСКОЕ ЗДОРОВЬЕ	体力危険	LEBN KRITISCH
JET	喷气背包	ДЖЕТ	ジェット	JET
BOOST	加速	УСКОРЕНИЕ	ブースト	BOOST
PAUSED	暂停	ПАУЗА	一時停止	PAUSE
WASTED	已死亡	ПОТРАЧЕНО	死亡	ERLEDIGT
UPGRADES	升级	УЛУЧШЕНИЯ	アップグレード	UPGRADES
WEAPON SKINS	武器皮肤	СКИНЫ ОРУЖИЯ	武器スキン	WAFFN-SKINS
LV	等级	УР	LV	STUFE
MAX LEVEL 10	最高等级 10	МАКС. УРОВЕНЬ 10	最大レベル 10	MAX STUFE 10
UNLIMITED LEVELS	无限等级	НЕОГРАНИЧЕННЫЕ УРОВНИ	無制限レベル	UNBEGRENZTE STUFEN
MAX	最大	МАКС	最大	MAX
CLICK TO EQUIP	点击装备	НАЖМИТЕ, ЧТОБЫ НАДЕТЬ	クリックして装備	KLICK ZUM ANLEGN
UNLOCK & EQUIP	解锁并装备	РАЗБЛОКИРОВАТЬ И НАДЕТЬ	解除して装備	FREISCHALTN & ANLEGN
RESPAWN	重生	ВОЗРОДИТЬСЯ	リスポーン	NEU SPAWNA
SAVE & EXIT	保存并退出	СОХРАНИТЬ И ВЫЙТИ	保存して終了	SPEICHERN & RAUS
PAGE	页	СТРАНИЦА	ページ	SEITE
RESUME	继续	ПРОДОЛЖИТЬ	再開	WEIDA
CONTROLS  ON	控制  开	УПРАВЛЕНИЕ  ВКЛ	操作  オン	STEUERUNG  O
